review_category,candidate_id,image_id,image_number,run_date,track_id,track_length,x,y,snr,blob_size,artifact_score,artifact_flags,candidate_score,time,review_reason
likely_artifact,1357658284-0216,N1357658284,1357658284,2001-01-08,U026,1,731.00,735.00,126.73,1,0.85,single_pixel|too_small,0.0000,2001-01-08T15:04:41.200,Artifact flags: single_pixel|too_small.
likely_artifact,1358117118-0135,N1358117118,1358117118,2001-01-13,U022,1,402.00,601.00,125.33,1,0.85,single_pixel|too_small,0.0000,2001-01-13T22:32:24.014,Artifact flags: single_pixel|too_small.
likely_artifact,1357658115-0139,N1357658115,1357658115,2001-01-08,U025,1,402.00,601.00,123.82,1,0.85,single_pixel|too_small,0.0000,2001-01-08T15:02:24.193,Artifact flags: single_pixel|too_small.
likely_artifact,1357667116-0147,N1357667116,1357667116,2001-01-08,U033,1,402.00,601.00,122.69,1,0.85,single_pixel|too_small,0.0000,2001-01-08T17:32:25.131,Artifact flags: single_pixel|too_small.
likely_artifact,1357649115-0135,N1357649115,1357649115,2001-01-08,U017,1,402.00,601.00,121.56,1,0.85,single_pixel|too_small,0.0000,2001-01-08T12:32:24.255,Artifact flags: single_pixel|too_small.
likely_artifact,1357676116-0127,N1357676116,1357676116,2001-01-08,U041,1,402.00,601.00,121.05,1,0.85,single_pixel|too_small,0.0000,2001-01-08T20:02:25.068,Artifact flags: single_pixel|too_small.
likely_artifact,1357676285-0213,N1357676285,1357676285,2001-01-08,U042,1,731.00,735.00,121.05,1,0.85,single_pixel|too_small,0.0000,2001-01-08T20:04:42.075,Artifact flags: single_pixel|too_small.
likely_artifact,1357676116-0023,N1357676116,1357676116,2001-01-08,U041,1,133.00,117.00,120.42,1,0.85,single_pixel|too_small,0.0000,2001-01-08T20:02:25.068,Artifact flags: single_pixel|too_small.
likely_artifact,1358063287-0081,N1358063287,1358063287,2001-01-13,U002,1,399.00,299.00,120.21,1,0.85,single_pixel|too_small,0.0000,2001-01-13T07:34:41.395,Artifact flags: single_pixel|too_small.
likely_artifact,1357667285-0194,N1357667285,1357667285,2001-01-08,U034,1,731.00,735.00,118.79,1,0.85,single_pixel|too_small,0.0000,2001-01-08T17:34:42.137,Artifact flags: single_pixel|too_small.
likely_artifact,1356977373-0211,N1356977373,1356977373,2000-12-31,U001,1,402.00,601.00,118.77,1,0.85,single_pixel|too_small,0.0000,2000-12-31T17:57:22.887,Artifact flags: single_pixel|too_small.
