run_date,track_id,frame_count,first_image_id,last_image_id,median_peak_snr,mean_step_px,motion_consistency,candidate_score,temporal_quality,quality_reason,candidate_ids
2001-01-01,T0236,3,N1357019483,N1357020233,20.00,40.01,0.844,0.6684,strong_temporal_review,appears in 3+ frames; consistent step size; high SNR,1357019483-0285|1357019873-0235|1357020233-0327
2001-01-08,T0067,3,N1357628415,N1357629093,10.53,21.63,0.870,0.6681,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357628415-1417|1357628584-0764|1357629093-1260
2001-01-10,T0278,3,N1357806108,N1357806858,11.65,49.36,0.939,0.6671,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357806108-0111|1357806498-0079|1357806858-0099
2001-01-05,T0141,3,N1357356085,N1357356835,15.59,66.66,0.943,0.6667,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357356085-0023|1357356475-0051|1357356835-0012
2001-01-08,T1884,3,N1357649115,N1357649793,11.04,17.91,0.851,0.6665,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357649115-0499|1357649284-0511|1357649793-0144
2001-01-13,T1605,3,N1358114418,N1358115096,10.96,25.48,0.852,0.6663,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358114418-0183|1358114587-0183|1358115096-0088
2000-12-31,T0356,3,N1356990399,N1356991149,14.26,71.23,0.871,0.6659,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1356990399-0226|1356990789-0285|1356991149-0408
2001-01-08,T0485,3,N1357631115,N1357631793,12.98,77.04,0.899,0.6652,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357631115-2056|1357631284-1900|1357631793-0656
2001-01-13,T1373,3,N1358108118,N1358108796,15.32,76.97,0.942,0.6650,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1358108118-0034|1358108287-0035|1358108796-0006
2001-01-11,T0193,3,N1357889469,N1357890219,10.32,32.39,0.960,0.6644,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357889469-0014|1357889859-0041|1357890219-0024
2001-01-04,T0185,3,N1357331473,N1357332223,14.59,73.75,0.957,0.6643,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357331473-0094|1357331863-0103|1357332223-0073
2001-01-05,T0160,3,N1357356085,N1357356835,11.26,22.95,0.936,0.6640,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357356085-0118|1357356475-0120|1357356835-0091
2001-01-01,T0351,3,N1357023955,N1357024705,15.90,74.50,0.920,0.6630,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357023955-0277|1357024345-0263|1357024705-0309
2001-01-10,T0137,3,N1357790440,N1357791190,10.77,60.36,0.943,0.6629,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357790440-0002|1357790830-0044|1357791190-0012
2001-01-09,T0274,3,N1357772552,N1357773302,10.09,69.26,0.957,0.6624,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357772552-0047|1357772942-0017|1357773302-0054
2001-01-10,T0142,3,N1357790440,N1357791190,10.18,39.19,0.954,0.6620,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357790440-0041|1357790830-0029|1357791190-0050
2001-01-08,T3325,3,N1357667116,N1357667794,13.66,15.68,0.969,0.6617,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357667116-0525|1357667285-0452|1357667794-0144
2001-01-05,T0334,3,N1357373974,N1357374724,12.29,50.86,0.894,0.6598,strong_temporal_review,appears in 3+ frames; consistent step size; moderate SNR,1357373974-0067|1357374364-0059|1357374724-0042
